# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.90000000e+02
# lRef          : 3.17679083e+00
# Aref          : 7.92623827e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.12542059e-11	1.38217429e-03	2.61226928e-12	1.25603405e-11	-9.94807126e-12
20              	-2.07184557e-03	1.37703411e+00	-1.93466545e-04	-2.16857885e-03	1.97511230e-03
40              	-7.91984191e-04	1.02739248e+00	6.96745627e-04	-4.43611378e-04	1.14035700e-03
60              	1.82763199e-03	7.48354131e-01	5.56049603e-04	2.10565679e-03	-1.54960719e-03
80              	2.90104881e-03	6.92825874e-01	-1.44422741e-03	2.17893511e-03	-3.62316252e-03
100             	3.47440742e-03	6.89229508e-01	-1.98783939e-03	2.48048773e-03	-4.46832712e-03
120             	5.45022550e-03	6.79515827e-01	-2.82555980e-03	4.03744560e-03	-6.86300540e-03
140             	9.99756914e-03	6.77049948e-01	-5.12177803e-03	7.43668013e-03	-1.25584582e-02
160             	1.18401328e-02	6.80988188e-01	-6.79596277e-03	8.44215143e-03	-1.52381142e-02
180             	1.87229585e-02	6.95986908e-01	-1.00678951e-02	1.36890109e-02	-2.37569061e-02
200             	2.71640547e-02	7.21397110e-01	-1.53041660e-02	1.95119718e-02	-3.48161377e-02
220             	3.41582987e-02	7.67787863e-01	-2.01148182e-02	2.41008896e-02	-4.42157077e-02
240             	3.80898712e-02	8.47730055e-01	-2.44969482e-02	2.58413971e-02	-5.03383453e-02
260             	3.21717152e-02	9.25854256e-01	-2.26215147e-02	2.08609578e-02	-4.34824725e-02
280             	1.73744185e-02	9.45846373e-01	-7.17208707e-03	1.37883750e-02	-2.09604621e-02
300             	-1.70524688e-02	9.37780841e-01	2.38962518e-02	-5.10434288e-03	2.90005947e-02
320             	-3.60841750e-03	1.03190380e+00	5.65366527e-03	-7.81584863e-04	6.43525013e-03
340             	5.79673645e-03	9.72011186e-01	-1.22780957e-02	-3.42311371e-04	-1.19357843e-02
360             	-3.33194883e-04	9.56099986e-01	1.54285746e-03	4.38233846e-04	1.10462361e-03
380             	1.37658957e-03	9.30637624e-01	-2.74862962e-03	2.27475771e-06	-2.75090438e-03
400             	-5.98985429e-03	8.75144463e-01	4.36411062e-03	-3.80779897e-03	8.17190960e-03
420             	8.76776295e-03	8.38578664e-01	-5.33370516e-03	6.10091037e-03	-1.14346155e-02
440             	-1.04454181e-02	8.07077763e-01	5.26021558e-03	-7.81531027e-03	1.30755258e-02
460             	9.37880798e-03	7.93691710e-01	-3.27708126e-03	7.74026735e-03	-1.10173486e-02
480             	-4.52842334e-03	7.83146057e-01	-3.30051316e-04	-4.69344900e-03	4.36339769e-03
500             	-1.43005322e-03	7.81318050e-01	3.79169693e-03	4.65795251e-04	3.32590168e-03
520             	8.57671391e-03	7.84984941e-01	-7.36821300e-03	4.89260741e-03	-1.22608204e-02
540             	-1.14821762e-02	7.77175678e-01	7.34876634e-03	-7.80779305e-03	1.51565594e-02
560             	1.20085581e-02	7.87959856e-01	-6.07388759e-03	8.97161433e-03	-1.50455019e-02
580             	-6.15663977e-03	7.82042885e-01	1.10156648e-03	-5.60585653e-03	6.70742301e-03
600             	2.35261985e-03	7.93020768e-01	1.40389113e-03	3.05456542e-03	-1.65067429e-03
620             	5.72445347e-03	8.09047914e-01	-6.13699481e-03	2.65595607e-03	-8.79295088e-03
640             	-5.72832551e-03	7.88367093e-01	4.98388960e-03	-3.23638071e-03	8.22027031e-03
660             	1.21908737e-02	8.26340465e-01	-7.87850784e-03	8.25161975e-03	-1.61301276e-02
680             	-4.54267016e-03	7.95487705e-01	7.82018014e-04	-4.15166115e-03	4.93367916e-03
700             	9.61877176e-03	8.21330599e-01	-3.96778493e-03	7.63487930e-03	-1.16026642e-02
720             	5.11127567e-03	8.37364189e-01	-5.92788780e-03	2.14733176e-03	-8.07521957e-03
740             	8.26900239e-03	8.17992573e-01	-2.97353269e-03	6.78223605e-03	-9.75576874e-03
760             	1.31097024e-02	8.94130292e-01	-9.69762214e-03	8.26089128e-03	-1.79585134e-02
780             	1.29175474e-02	8.60309426e-01	-9.46736277e-03	8.18386604e-03	-1.76512288e-02
800             	1.57321598e-02	9.21569744e-01	-1.09693282e-02	1.02474957e-02	-2.12168239e-02
