# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.20000000e+02
# lRef          : 5.80000000e+00
# Aref          : 2.64207942e+01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	3.98952671e-11	6.54285760e-03	1.48147451e-11	4.73026397e-11	-3.24878946e-11
20              	9.00980000e-06	9.34739566e-01	-2.38890076e-04	-1.10435238e-04	-1.28454838e-04
40              	1.82511804e-05	8.11650252e-01	-5.52470447e-06	1.54888282e-05	-2.10135326e-05
60              	-3.08005883e-05	7.75897874e-01	2.60535752e-05	-1.77738007e-05	4.38273759e-05
80              	-1.94822174e-05	7.63603392e-01	1.48671769e-05	-1.20486290e-05	2.69158059e-05
100             	-1.21381647e-05	7.60901288e-01	6.06468232e-06	-9.10582358e-06	1.51705059e-05
120             	-1.11017076e-05	7.62613945e-01	9.18270631e-06	-6.51035444e-06	1.56930608e-05
140             	-1.12502947e-05	7.64811305e-01	7.17033320e-06	-7.66512808e-06	1.48354613e-05
160             	-9.08197395e-06	7.66434328e-01	6.73673117e-06	-5.71360836e-06	1.24503395e-05
180             	-8.22455921e-06	7.67404409e-01	4.87403070e-06	-5.78754386e-06	1.06615746e-05
200             	-6.46151997e-06	7.67916908e-01	4.48421001e-06	-4.21941496e-06	8.70362497e-06
220             	-5.74756068e-06	7.68163870e-01	3.46874716e-06	-4.01318709e-06	7.48193426e-06
240             	-4.57836297e-06	7.68272892e-01	3.09561905e-06	-3.03055344e-06	6.12617250e-06
260             	-4.03332910e-06	7.68316743e-01	2.49059061e-06	-2.78803380e-06	5.27862441e-06
280             	-3.30303875e-06	7.68331935e-01	2.21412891e-06	-2.19597429e-06	4.41010321e-06
300             	-2.92129974e-06	7.68336272e-01	1.85378666e-06	-1.99440641e-06	3.84819307e-06
320             	-2.46393161e-06	7.68336595e-01	1.65238877e-06	-1.63773723e-06	3.29012599e-06
340             	-2.20406067e-06	7.68336115e-01	1.43461195e-06	-1.48675469e-06	2.92136664e-06
360             	-1.91541062e-06	7.68335511e-01	1.29262499e-06	-1.26909812e-06	2.56172311e-06
380             	-1.78296513e-06	7.68335233e-01	1.19447418e-06	-1.18572804e-06	2.38020222e-06
400             	-1.63534579e-06	7.68334996e-01	1.11240283e-06	-1.07914438e-06	2.19154720e-06
420             	-1.48646450e-06	7.68334831e-01	1.01552677e-06	-9.78701113e-07	1.99422789e-06
440             	-1.38005094e-06	7.68334722e-01	9.32631134e-07	-9.13735375e-07	1.84636651e-06
460             	-1.27085337e-06	7.68334659e-01	8.80038464e-07	-8.30834140e-07	1.71087260e-06
480             	-1.19145523e-06	7.68334627e-01	8.20309626e-07	-7.81300421e-07	1.60161005e-06
500             	-1.12666407e-06	7.68334602e-01	7.81608187e-07	-7.35859977e-07	1.51746816e-06
520             	-1.06623667e-06	7.68334593e-01	7.47619822e-07	-6.92426757e-07	1.44004658e-06
540             	-1.02461884e-06	7.68334586e-01	7.15471444e-07	-6.66883117e-07	1.38235456e-06
560             	-9.88535354e-07	7.68334583e-01	6.99499798e-07	-6.38785456e-07	1.33828525e-06
580             	-9.64514586e-07	7.68334583e-01	6.85699128e-07	-6.21665022e-07	1.30736415e-06
600             	-9.51342938e-07	7.68334583e-01	6.74595381e-07	-6.14045248e-07	1.28864063e-06
620             	-9.40334078e-07	7.68334583e-01	6.68648653e-07	-6.06009751e-07	1.27465840e-06
640             	-9.31635730e-07	7.68334581e-01	6.64061037e-07	-5.99605211e-07	1.26366625e-06
660             	-9.22599870e-07	7.68334582e-01	6.58631641e-07	-5.93284050e-07	1.25191569e-06
680             	-9.16782967e-07	7.68334581e-01	6.53585594e-07	-5.89990169e-07	1.24357576e-06
700             	-9.08154442e-07	7.68334582e-01	6.48577712e-07	-5.83865586e-07	1.23244330e-06
720             	-9.03523196e-07	7.68334581e-01	6.46110996e-07	-5.80467698e-07	1.22657869e-06
740             	-8.98957552e-07	7.68334581e-01	6.44136096e-07	-5.76889504e-07	1.22102560e-06
760             	-8.96115774e-07	7.68334581e-01	6.40684352e-07	-5.75773598e-07	1.21645795e-06
780             	-8.88062830e-07	7.68334581e-01	6.34428617e-07	-5.70848522e-07	1.20527714e-06
800             	-8.80984926e-07	7.68334580e-01	6.30600858e-07	-5.65684497e-07	1.19628536e-06
