# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 4.00000000e+01
# lRef          : 1.93649167e+01
# Aref          : 2.94524311e+02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-9.12887148e-14	6.32252511e-03	-2.13532541e-13	-1.98054985e-13	-1.54775557e-14
20              	3.33487291e-03	1.26161475e+00	2.89842738e-04	3.47979428e-03	-3.18995154e-03
40              	4.69963687e-03	9.27907620e-01	1.77203733e-03	5.58565554e-03	-3.81361821e-03
60              	-4.86930422e-03	8.39703795e-01	8.24633942e-04	-4.45698725e-03	5.28162119e-03
80              	-2.35733560e-03	8.33455845e-01	1.55986667e-03	-1.57740226e-03	3.13726893e-03
100             	-2.37449718e-03	8.28452582e-01	1.08069639e-03	-1.83414899e-03	2.91484538e-03
120             	-9.95084943e-04	8.27916723e-01	4.31640012e-04	-7.79264936e-04	1.21090495e-03
140             	-7.39039517e-04	8.28836065e-01	3.10913407e-04	-5.83582814e-04	8.94496221e-04
160             	-4.15248179e-04	8.29338292e-01	2.00522166e-04	-3.14987096e-04	5.15509262e-04
180             	-2.58568618e-04	8.29646524e-01	1.10531370e-04	-2.03302933e-04	3.13834303e-04
200             	-1.50270919e-04	8.29756842e-01	6.85049594e-05	-1.16018439e-04	1.84523399e-04
220             	-9.05917645e-05	8.29802092e-01	3.98501595e-05	-7.06666848e-05	1.10516844e-04
240             	-5.38580308e-05	8.29813734e-01	2.42532209e-05	-4.17314203e-05	6.59846412e-05
260             	-3.11737113e-05	8.29816305e-01	1.37550077e-05	-2.42962074e-05	3.80512151e-05
280             	-1.82152740e-05	8.29815830e-01	8.10191807e-06	-1.41643150e-05	2.22662331e-05
300             	-1.00206526e-05	8.29815051e-01	4.40915045e-06	-7.81607739e-06	1.22252278e-05
320             	-5.32045472e-06	8.29814486e-01	2.31388345e-06	-4.16351299e-06	6.47739644e-06
340             	-2.40472414e-06	8.29814098e-01	1.01857476e-06	-1.89543676e-06	2.91401152e-06
360             	-7.06083443e-07	8.29813939e-01	2.56877394e-07	-5.77644746e-07	8.34522140e-07
380             	3.46394949e-07	8.29813861e-01	-2.18779693e-07	2.37005103e-07	-4.55784796e-07
400             	8.88980328e-07	8.29813822e-01	-4.61637356e-07	6.58161650e-07	-1.11979901e-06
420             	1.21442697e-06	8.29813832e-01	-5.93199609e-07	9.17827165e-07	-1.51102677e-06
440             	1.46315310e-06	8.29813838e-01	-7.20869689e-07	1.10271826e-06	-1.82358795e-06
460             	1.63566546e-06	8.29813847e-01	-7.98821663e-07	1.23625463e-06	-2.03507629e-06
480             	1.73909076e-06	8.29813855e-01	-8.46436557e-07	1.31587248e-06	-2.16230904e-06
500             	1.80427265e-06	8.29813861e-01	-8.74886300e-07	1.36682950e-06	-2.24171580e-06
520             	1.84389027e-06	8.29813865e-01	-8.93002225e-07	1.39738916e-06	-2.29039138e-06
540             	1.86296631e-06	8.29813867e-01	-8.99667210e-07	1.41313271e-06	-2.31279992e-06
560             	1.86886658e-06	8.29813868e-01	-9.02107948e-07	1.41781260e-06	-2.31992055e-06
580             	1.87235062e-06	8.29813869e-01	-9.03984425e-07	1.42035840e-06	-2.32434283e-06
600             	1.87960650e-06	8.29813869e-01	-9.07822621e-07	1.42569519e-06	-2.33351781e-06
620             	1.88809634e-06	8.29813870e-01	-9.12788003e-07	1.43170234e-06	-2.34449034e-06
640             	1.89433456e-06	8.29813870e-01	-9.14805279e-07	1.43693192e-06	-2.35173720e-06
660             	1.89545286e-06	8.29813870e-01	-9.15500479e-07	1.43770262e-06	-2.35320309e-06
680             	1.89510714e-06	8.29813871e-01	-9.15579973e-07	1.43731715e-06	-2.35289712e-06
700             	1.89760875e-06	8.29813870e-01	-9.16059238e-07	1.43957913e-06	-2.35563837e-06
720             	1.89922564e-06	8.29813871e-01	-9.17885902e-07	1.44028269e-06	-2.35816859e-06
740             	1.90119367e-06	8.29813871e-01	-9.18827107e-07	1.44178012e-06	-2.36060723e-06
760             	1.90274638e-06	8.29813870e-01	-9.19342712e-07	1.44307502e-06	-2.36241773e-06
780             	1.90274744e-06	8.29813870e-01	-9.19360705e-07	1.44306709e-06	-2.36242780e-06
800             	1.90307930e-06	8.29813873e-01	-9.19099391e-07	1.44352960e-06	-2.36262900e-06
820             	1.90247711e-06	8.29813871e-01	-9.19064237e-07	1.44294499e-06	-2.36200923e-06
840             	1.90486601e-06	8.29813869e-01	-9.19611140e-07	1.44506044e-06	-2.36467158e-06
860             	1.90520639e-06	8.29813873e-01	-9.21212725e-07	1.44460002e-06	-2.36581275e-06
880             	1.90720582e-06	8.29813871e-01	-9.21835489e-07	1.44628808e-06	-2.36812357e-06
900             	1.90885507e-06	8.29813871e-01	-9.22697960e-07	1.44750609e-06	-2.37020405e-06
