# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.00000000e+01
# lRef          : 2.50000000e+01
# Aref          : 4.90873852e+02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	8.47404303e-13	6.76793538e-03	-4.45634486e-14	8.25122579e-13	-8.69686028e-13
20              	-1.75487775e-03	1.17594820e+00	1.07877515e-03	-1.21549018e-03	2.29426533e-03
40              	-1.86583809e-03	8.11269416e-01	-9.07823261e-05	-1.91122925e-03	1.82044692e-03
60              	-3.76867827e-04	7.57716919e-01	2.53263764e-04	-2.50235945e-04	5.03499709e-04
80              	-6.12321310e-04	7.58772360e-01	4.61064956e-04	-3.81788832e-04	8.42853788e-04
100             	-2.79442199e-04	7.55481943e-01	1.95533796e-04	-1.81675302e-04	3.77209097e-04
120             	-2.42612833e-04	7.55536231e-01	1.50703503e-04	-1.67261082e-04	3.17964585e-04
140             	-1.47647524e-04	7.56076201e-01	9.73625863e-05	-9.89662308e-05	1.96328817e-04
160             	-1.11654362e-04	7.56516542e-01	7.03584141e-05	-7.64751545e-05	1.46833569e-04
180             	-7.42206472e-05	7.56753216e-01	4.74276973e-05	-5.05067986e-05	9.79344959e-05
200             	-5.37607130e-05	7.56858798e-01	3.40237077e-05	-3.67488591e-05	7.07725669e-05
220             	-3.73664917e-05	7.56897294e-01	2.38891496e-05	-2.54219169e-05	4.93110665e-05
240             	-2.66065798e-05	7.56908217e-01	1.69150924e-05	-1.81490336e-05	3.50641259e-05
260             	-1.87161616e-05	7.56909476e-01	1.19301798e-05	-1.27510717e-05	2.46812515e-05
280             	-1.32689800e-05	7.56908377e-01	8.45044531e-06	-9.04375736e-06	1.74942027e-05
300             	-9.39816737e-06	7.56907186e-01	5.99630850e-06	-6.40001312e-06	1.23963216e-05
320             	-6.68882019e-06	7.56906381e-01	4.28533825e-06	-4.54615107e-06	8.83148932e-06
340             	-4.78910551e-06	7.56905940e-01	3.08326700e-06	-3.24747202e-06	6.33073901e-06
360             	-3.44294830e-06	7.56905703e-01	2.22978565e-06	-2.32805547e-06	4.55784112e-06
380             	-2.49307078e-06	7.56905576e-01	1.62762640e-06	-1.67925758e-06	3.30688398e-06
400             	-1.83816822e-06	7.56905495e-01	1.22133348e-06	-1.22750148e-06	2.44883496e-06
420             	-1.46194452e-06	7.56905446e-01	9.96215595e-07	-9.63836724e-07	1.96005232e-06
440             	-1.14920471e-06	7.56905429e-01	8.00193794e-07	-7.49107814e-07	1.54930161e-06
460             	-8.94510621e-07	7.56905410e-01	6.23569614e-07	-5.82725814e-07	1.20629543e-06
480             	-7.01460553e-07	7.56905398e-01	4.98226751e-07	-4.52347178e-07	9.50573929e-07
500             	-5.63682174e-07	7.56905388e-01	4.09731596e-07	-3.58816376e-07	7.68547972e-07
520             	-4.64600968e-07	7.56905381e-01	3.46833357e-07	-2.91184289e-07	6.38017646e-07
540             	-3.93116019e-07	7.56905376e-01	3.00960097e-07	-2.42635970e-07	5.43596067e-07
560             	-3.45002296e-07	7.56905374e-01	2.72108910e-07	-2.08947841e-07	4.81056751e-07
580             	-3.19566538e-07	7.56905373e-01	2.58842014e-07	-1.90145531e-07	4.48987546e-07
600             	-3.04935872e-07	7.56905372e-01	2.50415455e-07	-1.79728145e-07	4.30143600e-07
620             	-2.95257666e-07	7.56905371e-01	2.42517582e-07	-1.73998875e-07	4.16516457e-07
640             	-2.80971053e-07	7.56905370e-01	2.32347518e-07	-1.64797294e-07	3.97144812e-07
660             	-2.67424356e-07	7.56905369e-01	2.23320520e-07	-1.55764097e-07	3.79084616e-07
680             	-2.59907795e-07	7.56905369e-01	2.18434655e-07	-1.50690468e-07	3.69125122e-07
700             	-2.56446899e-07	7.56905369e-01	2.16395041e-07	-1.48249379e-07	3.64644419e-07
720             	-2.54717670e-07	7.56905369e-01	2.16247186e-07	-1.46594077e-07	3.62841264e-07
740             	-2.51645223e-07	7.56905368e-01	2.14184042e-07	-1.44553202e-07	3.58737245e-07
760             	-2.44860344e-07	7.56905368e-01	2.08612594e-07	-1.40554047e-07	3.49166640e-07
780             	-2.40611166e-07	7.56905368e-01	2.05276572e-07	-1.37972880e-07	3.43249452e-07
800             	-2.35024661e-07	7.56905368e-01	2.01667505e-07	-1.34190909e-07	3.35858414e-07
820             	-2.31087222e-07	7.56905368e-01	1.99071584e-07	-1.31551430e-07	3.30623014e-07
840             	-2.30240062e-07	7.56905368e-01	1.98587967e-07	-1.30946078e-07	3.29534045e-07
860             	-2.30237968e-07	7.56905368e-01	1.98569486e-07	-1.30953225e-07	3.29522711e-07
880             	-2.29879203e-07	7.56905365e-01	1.99474603e-07	-1.30141901e-07	3.29616504e-07
900             	-2.25665838e-07	7.56905369e-01	1.96563573e-07	-1.27384051e-07	3.23947624e-07
920             	-2.22714046e-07	7.56905368e-01	1.92787174e-07	-1.26320459e-07	3.19107633e-07
940             	-2.20626779e-07	7.56905368e-01	1.92104385e-07	-1.24574586e-07	3.16678972e-07
960             	-2.19409113e-07	7.56905366e-01	1.91580377e-07	-1.23618924e-07	3.15199301e-07
980             	-2.19504204e-07	7.56905366e-01	1.91449149e-07	-1.23779630e-07	3.15228778e-07
1000            	-2.19510048e-07	7.56905366e-01	1.91445108e-07	-1.23787494e-07	3.15232602e-07
