Time,Cm,Cd,Cl,Cl(f),Cl(r)
0.0,8.47404303e-13,0.00676793538,-4.45634486e-14,8.25122579e-13,-8.69686028e-13
20.0,-0.00175487775,1.1759482,0.00107877515,-0.00121549018,0.00229426533
40.0,-0.00186583809,0.811269416,-9.07823261e-05,-0.00191122925,0.00182044692
60.0,-0.000376867827,0.757716919,0.000253263764,-0.000250235945,0.000503499709
80.0,-0.00061232131,0.75877236,0.000461064956,-0.000381788832,0.000842853788
100.0,-0.000279442199,0.755481943,0.000195533796,-0.000181675302,0.000377209097
120.0,-0.000242612833,0.755536231,0.000150703503,-0.000167261082,0.000317964585
140.0,-0.000147647524,0.756076201,9.73625863e-05,-9.89662308e-05,0.000196328817
160.0,-0.000111654362,0.756516542,7.03584141e-05,-7.64751545e-05,0.000146833569
180.0,-7.42206472e-05,0.756753216,4.74276973e-05,-5.05067986e-05,9.79344959e-05
200.0,-5.3760713e-05,0.756858798,3.40237077e-05,-3.67488591e-05,7.07725669e-05
220.0,-3.73664917e-05,0.756897294,2.38891496e-05,-2.54219169e-05,4.93110665e-05
240.0,-2.66065798e-05,0.756908217,1.69150924e-05,-1.81490336e-05,3.50641259e-05
260.0,-1.87161616e-05,0.756909476,1.19301798e-05,-1.27510717e-05,2.46812515e-05
280.0,-1.326898e-05,0.756908377,8.45044531e-06,-9.04375736e-06,1.74942027e-05
300.0,-9.39816737e-06,0.756907186,5.9963085e-06,-6.40001312e-06,1.23963216e-05
320.0,-6.68882019e-06,0.756906381,4.28533825e-06,-4.54615107e-06,8.83148932e-06
340.0,-4.78910551e-06,0.75690594,3.083267e-06,-3.24747202e-06,6.33073901e-06
360.0,-3.4429483e-06,0.756905703,2.22978565e-06,-2.32805547e-06,4.55784112e-06
380.0,-2.49307078e-06,0.756905576,1.6276264e-06,-1.67925758e-06,3.30688398e-06
400.0,-1.83816822e-06,0.756905495,1.22133348e-06,-1.22750148e-06,2.44883496e-06
420.0,-1.46194452e-06,0.756905446,9.96215595e-07,-9.63836724e-07,1.96005232e-06
440.0,-1.14920471e-06,0.756905429,8.00193794e-07,-7.49107814e-07,1.54930161e-06
460.0,-8.94510621e-07,0.75690541,6.23569614e-07,-5.82725814e-07,1.20629543e-06
480.0,-7.01460553e-07,0.756905398,4.98226751e-07,-4.52347178e-07,9.50573929e-07
500.0,-5.63682174e-07,0.756905388,4.09731596e-07,-3.58816376e-07,7.68547972e-07
520.0,-4.64600968e-07,0.756905381,3.46833357e-07,-2.91184289e-07,6.38017646e-07
540.0,-3.93116019e-07,0.756905376,3.00960097e-07,-2.4263597e-07,5.43596067e-07
560.0,-3.45002296e-07,0.756905374,2.7210891e-07,-2.08947841e-07,4.81056751e-07
580.0,-3.19566538e-07,0.756905373,2.58842014e-07,-1.90145531e-07,4.48987546e-07
600.0,-3.04935872e-07,0.756905372,2.50415455e-07,-1.79728145e-07,4.301436e-07
620.0,-2.95257666e-07,0.756905371,2.42517582e-07,-1.73998875e-07,4.16516457e-07
640.0,-2.80971053e-07,0.75690537,2.32347518e-07,-1.64797294e-07,3.97144812e-07
660.0,-2.67424356e-07,0.756905369,2.2332052e-07,-1.55764097e-07,3.79084616e-07
680.0,-2.59907795e-07,0.756905369,2.18434655e-07,-1.50690468e-07,3.69125122e-07
700.0,-2.56446899e-07,0.756905369,2.16395041e-07,-1.48249379e-07,3.64644419e-07
720.0,-2.5471767e-07,0.756905369,2.16247186e-07,-1.46594077e-07,3.62841264e-07
740.0,-2.51645223e-07,0.756905368,2.14184042e-07,-1.44553202e-07,3.58737245e-07
760.0,-2.44860344e-07,0.756905368,2.08612594e-07,-1.40554047e-07,3.4916664e-07
780.0,-2.40611166e-07,0.756905368,2.05276572e-07,-1.3797288e-07,3.43249452e-07
800.0,-2.35024661e-07,0.756905368,2.01667505e-07,-1.34190909e-07,3.35858414e-07
820.0,-2.31087222e-07,0.756905368,1.99071584e-07,-1.3155143e-07,3.30623014e-07
840.0,-2.30240062e-07,0.756905368,1.98587967e-07,-1.30946078e-07,3.29534045e-07
860.0,-2.30237968e-07,0.756905368,1.98569486e-07,-1.30953225e-07,3.29522711e-07
880.0,-2.29879203e-07,0.756905365,1.99474603e-07,-1.30141901e-07,3.29616504e-07
900.0,-2.25665838e-07,0.756905369,1.96563573e-07,-1.27384051e-07,3.23947624e-07
920.0,-2.22714046e-07,0.756905368,1.92787174e-07,-1.26320459e-07,3.19107633e-07
940.0,-2.20626779e-07,0.756905368,1.92104385e-07,-1.24574586e-07,3.16678972e-07
960.0,-2.19409113e-07,0.756905366,1.91580377e-07,-1.23618924e-07,3.15199301e-07
980.0,-2.19504204e-07,0.756905366,1.91449149e-07,-1.2377963e-07,3.15228778e-07
1000.0,-2.19510048e-07,0.756905366,1.91445108e-07,-1.23787494e-07,3.15232602e-07
