Time,Cm,Cd,Cl,Cl(f),Cl(r)
0.0,3.98952671e-11,0.0065428576,1.48147451e-11,4.73026397e-11,-3.24878946e-11
20.0,9.0098e-06,0.934739566,-0.000238890076,-0.000110435238,-0.000128454838
40.0,1.82511804e-05,0.811650252,-5.52470447e-06,1.54888282e-05,-2.10135326e-05
60.0,-3.08005883e-05,0.775897874,2.60535752e-05,-1.77738007e-05,4.38273759e-05
80.0,-1.94822174e-05,0.763603392,1.48671769e-05,-1.2048629e-05,2.69158059e-05
100.0,-1.21381647e-05,0.760901288,6.06468232e-06,-9.10582358e-06,1.51705059e-05
120.0,-1.11017076e-05,0.762613945,9.18270631e-06,-6.51035444e-06,1.56930608e-05
140.0,-1.12502947e-05,0.764811305,7.1703332e-06,-7.66512808e-06,1.48354613e-05
160.0,-9.08197395e-06,0.766434328,6.73673117e-06,-5.71360836e-06,1.24503395e-05
180.0,-8.22455921e-06,0.767404409,4.8740307e-06,-5.78754386e-06,1.06615746e-05
200.0,-6.46151997e-06,0.767916908,4.48421001e-06,-4.21941496e-06,8.70362497e-06
220.0,-5.74756068e-06,0.76816387,3.46874716e-06,-4.01318709e-06,7.48193426e-06
240.0,-4.57836297e-06,0.768272892,3.09561905e-06,-3.03055344e-06,6.1261725e-06
260.0,-4.0333291e-06,0.768316743,2.49059061e-06,-2.7880338e-06,5.27862441e-06
280.0,-3.30303875e-06,0.768331935,2.21412891e-06,-2.19597429e-06,4.41010321e-06
300.0,-2.92129974e-06,0.768336272,1.85378666e-06,-1.99440641e-06,3.84819307e-06
320.0,-2.46393161e-06,0.768336595,1.65238877e-06,-1.63773723e-06,3.29012599e-06
340.0,-2.20406067e-06,0.768336115,1.43461195e-06,-1.48675469e-06,2.92136664e-06
360.0,-1.91541062e-06,0.768335511,1.29262499e-06,-1.26909812e-06,2.56172311e-06
380.0,-1.78296513e-06,0.768335233,1.19447418e-06,-1.18572804e-06,2.38020222e-06
400.0,-1.63534579e-06,0.768334996,1.11240283e-06,-1.07914438e-06,2.1915472e-06
420.0,-1.4864645e-06,0.768334831,1.01552677e-06,-9.78701113e-07,1.99422789e-06
440.0,-1.38005094e-06,0.768334722,9.32631134e-07,-9.13735375e-07,1.84636651e-06
460.0,-1.27085337e-06,0.768334659,8.80038464e-07,-8.3083414e-07,1.7108726e-06
480.0,-1.19145523e-06,0.768334627,8.20309626e-07,-7.81300421e-07,1.60161005e-06
500.0,-1.12666407e-06,0.768334602,7.81608187e-07,-7.35859977e-07,1.51746816e-06
520.0,-1.06623667e-06,0.768334593,7.47619822e-07,-6.92426757e-07,1.44004658e-06
540.0,-1.02461884e-06,0.768334586,7.15471444e-07,-6.66883117e-07,1.38235456e-06
560.0,-9.88535354e-07,0.768334583,6.99499798e-07,-6.38785456e-07,1.33828525e-06
580.0,-9.64514586e-07,0.768334583,6.85699128e-07,-6.21665022e-07,1.30736415e-06
600.0,-9.51342938e-07,0.768334583,6.74595381e-07,-6.14045248e-07,1.28864063e-06
620.0,-9.40334078e-07,0.768334583,6.68648653e-07,-6.06009751e-07,1.2746584e-06
640.0,-9.3163573e-07,0.768334581,6.64061037e-07,-5.99605211e-07,1.26366625e-06
660.0,-9.2259987e-07,0.768334582,6.58631641e-07,-5.9328405e-07,1.25191569e-06
680.0,-9.16782967e-07,0.768334581,6.53585594e-07,-5.89990169e-07,1.24357576e-06
700.0,-9.08154442e-07,0.768334582,6.48577712e-07,-5.83865586e-07,1.2324433e-06
720.0,-9.03523196e-07,0.768334581,6.46110996e-07,-5.80467698e-07,1.22657869e-06
740.0,-8.98957552e-07,0.768334581,6.44136096e-07,-5.76889504e-07,1.2210256e-06
760.0,-8.96115774e-07,0.768334581,6.40684352e-07,-5.75773598e-07,1.21645795e-06
780.0,-8.8806283e-07,0.768334581,6.34428617e-07,-5.70848522e-07,1.20527714e-06
800.0,-8.80984926e-07,0.76833458,6.30600858e-07,-5.65684497e-07,1.19628536e-06
