Time,Cm,Cd,Cl,Cl(f),Cl(r)
0.0,-8.61862748e-13,0.00613211238,-1.56339429e-13,-9.40032462e-13,7.83693033e-13
20.0,0.00134101428,1.35707892,0.000490897562,0.00158646306,-0.0010955655
40.0,-0.00027860762,1.00059198,3.82559675e-05,-0.000259479636,0.000297735604
60.0,-0.00053062881,0.948551839,-0.000150690362,-0.000605973991,0.00045528363
80.0,-0.00017606327,0.934030442,4.80408661e-05,-0.000152042837,0.000200083703
100.0,-0.000116654641,0.933141532,3.11918546e-05,-0.000101058714,0.000132250569
120.0,-1.46750382e-05,0.935584302,-8.72772488e-07,-1.51114244e-05,1.42386519e-05
140.0,-1.67444128e-05,0.937244674,3.87044416e-06,-1.48091907e-05,1.86796349e-05
160.0,-3.32719152e-06,0.938107738,8.56892894e-07,-2.89874507e-06,3.75563797e-06
180.0,-2.80051434e-06,0.938518893,3.88505693e-07,-2.60626149e-06,2.99476719e-06
200.0,1.94514059e-07,0.938702225,-4.47200537e-08,1.72154032e-07,-2.16874086e-07
220.0,-4.02244832e-07,0.938778943,4.16210343e-08,-3.81434315e-07,4.23055349e-07
240.0,3.589819e-07,0.938809509,-9.82556336e-08,3.09854083e-07,-4.08109717e-07
260.0,2.09616951e-07,0.938820982,-8.19728507e-08,1.68630525e-07,-2.50603376e-07
280.0,3.32801891e-07,0.938825048,-9.34858634e-08,2.86058959e-07,-3.79544823e-07
300.0,3.10266366e-07,0.938826365,-9.62808694e-08,2.62125932e-07,-3.58406801e-07
320.0,3.2914377e-07,0.938826744,-9.63714433e-08,2.80958048e-07,-3.77329492e-07
340.0,3.24028877e-07,0.938826842,-9.74633144e-08,2.75297219e-07,-3.72760534e-07
360.0,3.29371812e-07,0.938826833,-9.64162153e-08,2.81163704e-07,-3.7757992e-07
380.0,3.27844016e-07,0.938826823,-9.80615105e-08,2.78813261e-07,-3.76874772e-07
400.0,3.29605676e-07,0.938826817,-9.72659281e-08,2.80972712e-07,-3.7823864e-07
420.0,3.29179498e-07,0.938826816,-9.78014192e-08,2.80278789e-07,-3.78080208e-07
440.0,3.29376614e-07,0.938826813,-9.7592784e-08,2.80580222e-07,-3.78173006e-07
460.0,3.29777808e-07,0.938826813,-9.76233406e-08,2.80966137e-07,-3.78589478e-07
480.0,3.29185682e-07,0.938826812,-9.77218553e-08,2.80324755e-07,-3.7804661e-07
500.0,3.2918479e-07,0.938826812,-9.77142211e-08,2.80327679e-07,-3.780419e-07
520.0,3.29896331e-07,0.938826815,-9.77012207e-08,2.81045721e-07,-3.78746942e-07
540.0,3.28979947e-07,0.938826814,-9.75977578e-08,2.80181068e-07,-3.77778826e-07
560.0,3.29503541e-07,0.938826813,-9.76176633e-08,2.80694709e-07,-3.78312372e-07
580.0,3.29418454e-07,0.938826811,-9.76443652e-08,2.80596271e-07,-3.78240637e-07
600.0,3.29496295e-07,0.93882681,-9.76535513e-08,2.8066952e-07,-3.78323071e-07
620.0,3.29495874e-07,0.93882681,-9.76547782e-08,2.80668485e-07,-3.78323263e-07
640.0,3.2949597e-07,0.93882681,-9.76554119e-08,2.80668264e-07,-3.78323676e-07
660.0,3.29341046e-07,0.938826816,-9.76290436e-08,2.80526524e-07,-3.78155568e-07
680.0,3.29552497e-07,0.938826809,-9.76328667e-08,2.80736064e-07,-3.7836893e-07
700.0,3.29514017e-07,0.938826811,-9.76608194e-08,2.80683607e-07,-3.78344427e-07
720.0,3.29512662e-07,0.938826811,-9.76622613e-08,2.80681532e-07,-3.78343793e-07
740.0,3.29484152e-07,0.938826812,-9.76052087e-08,2.80681548e-07,-3.78286756e-07
760.0,3.29514089e-07,0.93882681,-9.76392023e-08,2.80694488e-07,-3.78333691e-07
780.0,3.29504427e-07,0.938826828,-9.75846562e-08,2.80712099e-07,-3.78296755e-07
800.0,3.29493028e-07,0.938826802,-9.76844992e-08,2.80650779e-07,-3.78335278e-07
820.0,3.29217587e-07,0.938826805,-9.80358525e-08,2.80199661e-07,-3.78235513e-07
840.0,3.29983998e-07,0.938826824,-9.72382522e-08,2.81364872e-07,-3.78603124e-07
860.0,3.28881784e-07,0.938826797,-9.81480916e-08,2.79807738e-07,-3.77955829e-07
880.0,3.29829937e-07,0.93882681,-9.73738922e-08,2.81142991e-07,-3.78516883e-07
900.0,3.29776633e-07,0.938826804,-9.74715502e-08,2.81040858e-07,-3.78512408e-07
